names	edited_features	longest_gene_isoform
AT2G22942	32	872
AT5G27830	509	1705
AT4G11170	4	6236
AT5G47110	1493	1428
AT1G54400	21	1274
AT4G37380	147	2122
AT5G57230	182	1776
AT3G17160	7115	1031
AT3G01425	9	709
AT1G63450	1	3329
AT2G01060	1207	2301
AT2G24420	1777	3457
AT1G21300	3	557
AT1G20020	1369	2466
AT3G12420	2	989
AT2G07040	3	2976
AT3G57890	2326	4010
AT5G39030	2	2809
AT5G19190	17	1478
AT5G10010	2537	3975
AT3G27930	538	3236
AT3G21740	518	1912
AT5G66010	553	1618
AT4G37235	4	2042
AT1G04117	8	1540
AT3G27710	8	1859
AT3G24510	274	897
AT5G07340	1974	2717
AT3G08165	80	80
AT3G07725	40	154
AT5G30500	3	1920
AT3G08580	32681	2460
AT1G09023	3	4942
AT5G13560	2619	6135
AT1G10180	1873	3443
AT3G50480	11	1399
AT5G50950	195	4510
AT4G11490	2	2700
AT4G17800	107	1594
AT4G27030	19	1257
AT1G08940	48	1739
AT3G20120	484	2689
AT4G11300	96	1538
AT1G78760	12	1642
AT3G59050	772	2813
AT2G08635	5	517
AT4G37870	31224	4015
AT5G39500	1737	5592
AT1G52440	2	2086
AT5G59500	860	1870
AT3G63380	66	3876
AT3G46390	1	428
AT3G16720	145	1574
AT1G21510	14	1433
AT2G41835	265	1992
AT2G01010	638425	1807
AT1G68620	48	1522
AT2G24205	236	414
AT2G36740	433	3290
AT4G14805	1	826
AT4G13330	157	2770
AT2G13920	3	1697
AT3G52565	1	79
AT5G61290	23	2287
AT2G22960	5	2083
AT4G08615	7	79
AT3G55605	872	1444
AT1G02960	446	3112
AT1G52270	20	759
AT1G19960	8	920
AT4G00990	863	4989
AT3G16860	111	2889
AT1G74740	202	2725
AT3G26380	1426	3319
AT3G06920	478	3780
AT1G48480	7994	2909
AT4G26700	599	4504
AT1G77610	5584	2603
AT4G18980	19	1048
AT1G08070	87	2470
AT2G28105	84	1610
AT2G10930	19	794
AT3G05210	419	2703
AT5G22220	436	3970
AT5G26180	1081	4429
AT3G02090	6660	3374
AT3G03980	543	1577
AT1G05937	8	592
AT5G07290	2134	5862
AT2G29120	6	4701
AT2G43710	2115	3016
AT1G07650	3062	7625
AT1G55915	125	3434
AT4G39220	1166	2172
AT1G30360	1382	3515
AT3G44500	1	4664
AT1G34320	1523	4318
AT5G42780	163	1039
AT2G21960	127	2249
AT1G67850	534	4307
AT2G28100	1622	1937
AT3G13140	2	874
AT2G14650	5	4375
AT1G52530	75	1470
AT5G03650	1663	5940
AT5G12420	2	2563
AT4G18930	355	1612
AT2G33340	4365	5083
AT3G51930	215	1717
AT3G21280	643	4195
AT2G45380	870	3665
AT4G17900	272	2379
AT5G56790	459	3798
AT3G45030	4402	1048
AT4G18253	1	1123
AT1G24938	1	2704
AT5G54790	11	1677
AT1G54780	998	1776
AT5G44090	762	5761
AT2G21300	3645	5945
AT5G46395	5	291
AT2G18550	27	1945
AT5G61810	1306	2410
AT2G34960	25	2127
AT2G30110	7060	5398
AT3G08970	734	3252
AT2G32040	526	2987
AT1G02680	519	1685
AT4G31170	1564	2580
AT2G07585	5	1197
AT5G28056	1	5469
AT2G34430	2939	1311
AT1G48780	98	1506
AT4G01590	1249	1629
AT1G28820	4	71
AT4G21110	2011	1950
AT5G62165	13	3961
AT4G16820	2	1913
AT1G31830	1390	2372
AT5G56040	2885	3822
AT5G48335	468	1734
AT1G53903	550	974
AT4G22670	5831	2984
AT1G33102	2	767
AT5G65240	367	4005
AT2G25370	1	3265
AT4G17505	252	1939
AT2G43235	283	2137
AT1G68800	162	4239
AT3G21610	757	1861
AT2G21895	27	334
AT5G08965	1	479
AT1G30040	766	2587
AT4G15840	1009	4205
AT1G33470	1669	2768
AT2G41540	2136	3234
AT5G01360	20	2079
AT2G36230	483	1864
AT3G03105	2	277
AT5G28360	41	1213
AT5G46877	10	434
AT5G38160	70	441
AT3G53900	553	2485
AT1G75335	259	461
AT1G64310	24	1658
AT1G62095	3	2069
AT3G24508	1	540
AT2G20562	7	887
AT1G50690	8	1087
AT4G26365	1	77
AT2G02410	103	2360
AT5G03255	4	2935
AT3G50690	2257	2468
AT1G30470	1729	7555
AT4G38260	268	1349
AT1G01305	404	616
AT5G45840	10	3906
AT1G10890	896	3157
AT2G36170	5089	1279
AT2G30940	2	1752
AT2G15570	811	1874
AT5G38980	199	726
AT3G12775	1	1172
AT1G36050	1307	3479
AT5G23860	2107	2081
AT5G42120	50	2117
AT2G40765	1031	1149
AT1G01260	1002	2753
AT2G19582	5	1616
AT5G19380	449	3901
AT3G57060	1870	6340
AT4G16650	1112	4482
AT4G30520	716	3504
AT1G77580	1388	3621
AT2G34840	240	1883
AT4G10630	618	1115
AT3G57750	168	1325
AT1G56100	335	3610
AT5G39570	12510	2508
AT4G00480	31	3078
AT5G39370	4	392
AT1G48410	16127	6963
AT2G44610	2044	2729
AT1G36320	1100	2431
AT1G03040	2591	2842
AT1G29140	9	1323
AT1G71770	856	3734
AT2G32950	923	5728
AT1G04907	1	159
AT4G39380	323	3890
AT1G11700	555	1173
AT2G45770	331	2653
AT1G20970	3740	6020
AT1G74380	1097	1960
AT2G32910	1128	3082
AT2G32500	226	1993
AT5G51710	608	4598
AT1G26880	6485	2894
AT2G18917	19	989
AT1G53310	3424	4478
AT3G24890	146	1682
AT2G03190	1	687
AT3G50520	571	1720
AT5G49390	141	6945
AT3G57870	4477	1902
AT2G32780	157	3460
AT3G60220	480	1614
AT3G13020	98	2111
AT2G07605	1	91
AT4G13262	1	1067
AT5G11720	949	3532
AT1G03590	1739	3480
AT1G50940	527	2200
AT5G01030	440	3455
AT5G43880	1497	4204
AT3G44550	2	4694
AT1G21480	587	2606
AT5G04800	6439	1978
AT2G39590	3	659
AT1G12280	83	3146
AT1G68907	23	462
AT2G41230	2	949
AT5G13080	1	1463
AT1G20510	756	2746
AT1G64500	33	1511
AT4G10570	1411	5105
AT5G53880	897	753
AT2G19720	505	1375
AT4G27340	395	3364
AT5G48190	3	1651
AT5G10750	374	1491
AT5G45400	823	3452
AT1G55710	10	218
AT1G80170	260	2681
AT5G09640	1	2842
AT4G22780	711	3081
AT2G36650	2	1422
AT2G35940	104	3653
AT1G11960	313	4455
AT3G07825	7	698
AT4G22900	9	1548
AT3G60130	128	3856
AT3G57820	2	753
AT3G50920	420	1468
AT2G17930	4621	18316
AT1G20795	27	1256
AT3G04485	36	1990
AT3G03760	4	1277
AT5G52910	703	5793
AT2G18940	806	2773
AT5G34825	1	1865
AT2G38025	369	1849
AT2G21540	387	3940
AT5G66110	4	1149
AT1G55865	44	1450
AT1G55840	2113	2921
AT4G02340	1020	2019
AT3G14205	1078	5353
AT2G35650	463	2892
AT4G17730	1112	1919
AT5G47470	2	2407
AT5G50850	3937	4227
AT4G23205	12	715
AT2G24210	27	3311
AT4G27510	175	2955
AT1G12500	391	2006
AT1G05450	111	1338
AT3G02285	1	325
AT1G62915	38	1046
AT3G47590	458	1821
AT1G08340	31	1980
AT2G44890	2	2093
AT1G56020	271	1739
AT5G23320	54	1376
AT1G32910	3	1982
AT1G19660	1140	2937
AT3G16760	1075	2565
AT3G14450	16	2139
AT1G11125	276	1180
AT1G54790	4	3011
AT2G03667	493	3350
AT3G54490	158	1857
AT2G07759	3	87
AT2G30960	76	1242
AT1G65410	652	2426
AT4G21780	2	1364
AT2G42820	128	1301
AT4G24450	126	7736
AT4G38092	28	1550
AT4G20800	465	1702
AT1G25500	235	2937
AT1G71170	464	1520
AT1G26500	44	1517
AT5G01560	522	3169
AT3G58450	5	1172
AT1G20490	22	2681
AT5G41890	1	2491
AT4G22740	1555	2290
AT3G16590	1	1124
AT5G59520	55	1695
AT1G40089	37	1307
AT1G19600	507	2335
AT5G02380	22150	746
AT2G02960	623	2418
AT5G34800	3	2036
AT5G61480	1560	3907
AT2G07665	7	482
AT5G47200	5131	2234
AT4G21530	638	5455
AT4G11470	1	2760
AT2G33910	10	71
AT1G69370	505	1771
AT5G64350	6608	1555
AT5G59630	100	2492
AT2G40435	93	2419
AT3G48830	174	3319
AT1G71280	18	2059
AT3G17205	2266	8521
AT1G78895	310	1890
AT5G06550	826	2041
AT1G05210	450	1279
AT5G26865	5	615
AT1G61780	671	1589
AT1G08780	902	1535
AT5G59460	559	1676
AT5G04340	19	1304
AT1G30930	2	1130
AT5G41260	920	3913
AT3G09070	1281	2734
AT3G59690	27	3116
AT2G08580	9	121
AT2G25480	464	2970
AT2G43330	646	3373
AT2G16270	1869	3006
AT2G33320	562	2883
AT4G19820	2	2231
AT2G43570	2	1351
AT4G37445	27	850
AT2G07786	34	255
AT3G50780	1544	2345
AT3G10340	116	4147
AT2G13560	4619	5392
AT5G55460	10	725
AT1G45130	2354	4158
AT3G52840	100	5305
AT5G25120	5	2711
AT3G19360	234	2058
AT3G11710	5564	3668
AT2G25830	421	3187
AT3G41768	667396	1807
AT3G20410	1210	3325
AT1G56040	6	1514
AT3G07960	225	3598
AT1G65970	35	950
AT2G16400	1104	2659
AT2G10640	1	2419
AT4G19190	967	2968
AT1G48180	59	2117
AT5G33300	415	3354
AT5G56330	2	2506
AT5G45390	3190	1884
AT5G60060	1	1282
AT1G63290	1233	2078
AT1G15440	1639	3531
AT4G26555	198	1818
AT2G02580	1	1866
AT3G48730	1066	2207
AT2G07712	95	2027
AT4G14315	1	494
AT3G12143	393	1044
AT3G50850	80	810
AT1G61360	131	4311
AT4G03550	3964	6554
AT5G47840	674	3148
AT3G28611	28	924
AT1G78990	9	1701
AT4G22150	986	1525
AT5G59720	14	977
AT4G02800	1681	1896
AT2G39950	499	3961
AT1G68585	23	963
AT3G09700	614	1516
AT2G14460	825	673
AT5G63120	619	3642
AT1G29400	1670	4632
AT4G11150	3331	2074
AT4G33940	740	1865
AT5G34885	292	710
AT4G32700	695	12512
AT5G17000	854	2529
AT4G26710	903	1598
AT1G02990	1119	6037
AT1G69720	81	1849
AT4G26466	49	1004
AT3G09745	2	2340
AT4G03820	135	2689
AT1G03100	70	2816
AT2G17880	700	1275
AT3G05340	232	2703
AT1G76590	48	1691
AT1G05810	72	1267
AT1G06720	1740	7039
AT3G47190	1	1675
AT2G08305	7	371
AT5G43710	726	4600
AT5G23050	1538	4345
AT5G40630	18	1466
AT3G13800	202	3495
AT5G11590	6	1273
AT2G21630	265	3617
AT1G15230	656	1189
AT2G18870	5	1197
AT5G26260	1	2190
AT2G21830	123	2312
AT5G58440	1493	3163
AT1G24880	3963	2171
AT1G45249	720	2799
AT5G49350	1	1579
AT1G42540	746	3759
AT2G45220	1	2545
AT5G40700	475	1894
AT2G23100	34	2704
AT5G36770	1	2384
AT1G05460	1477	3886
AT5G50450	293	1632
AT1G18485	145	3221
AT3G04520	407	2673
AT5G49660	236	3589
AT5G58710	5335	2003
AT1G68790	3379	4855
AT3G11890	610	2340
AT5G18370	116	5640
AT4G03926	5	284
AT5G66130	165	3258
AT5G60820	476	1647
AT1G55520	1144	2621
AT1G30520	358	3303
AT1G53110	473	2447
AT5G02140	82	1141
AT2G18690	1	1973
AT2G24755	4	7696
AT2G20650	296	3939
AT1G77830	7	592
AT1G68370	1113	3091
AT4G24413	3	546
AT1G75270	1074	1394
AT4G29840	1930	1948
AT1G50325	286	614
AT2G45600	81	1526
AT4G27595	1000	5373
AT1G05850	5595	2334
AT5G65207	364	517
AT1G28180	23	1538
AT3G10210	341	1636
AT5G10810	989	2082
AT3G19840	763	6522
AT2G07772	5	826
AT3G20000	3570	3190
AT2G05620	358	1212
AT2G32410	495	3559
AT2G41960	1320	5185
AT2G31020	26	3598
AT2G46150	1148	1140
AT3G16730	605	3846
AT4G17150	802	3967
AT1G05080	7	1488
AT3G13784	17	2351
AT2G16670	2	4478
AT5G51910	368	1325
AT2G19400	97	3564
AT4G25770	503	2856
AT3G04110	1	3268
AT2G41890	946	3727
AT2G23755	38	1263
AT5G60120	291	4054
AT2G33450	448	1077
AT3G18330	3	1262
AT1G51550	45	2350
AT2G01290	427	1666
AT3G51740	3456	3317
AT5G28237	63	6311
AT5G66750	1952	4294
AT2G14900	1477	1221
AT4G39090	20166	2074
AT4G03650	3	4578
AT3G60170	3	4019
AT4G09740	27	2297
AT5G24430	941	4359
AT5G61450	532	3148
AT4G19860	1472	2958
AT3G03060	894	3741
AT5G27270	643	4320
AT1G66950	1513	6498
AT3G07568	552	1579
AT3G51870	137	3034
AT1G79830	3470	6332
AT3G53990	6174	1894
AT4G18260	36	1679
AT1G31814	216	2110
AT4G04445	14	553
AT4G25680	1341	2188
AT3G27320	641	2735
AT1G16970	830	5044
AT4G26570	786	2794
AT1G18540	14970	1941
AT1G76740	524	5533
AT1G56260	157	1652
AT4G27980	1265	2278
AT5G65640	353	2255
AT5G16990	1166	2942
AT2G30424	3	2739
AT4G17600	518	1786
AT4G36000	1	1570
AT4G12540	290	2322
AT1G50580	2	1479
AT5G42280	757	2857
AT5G44065	1	289
AT1G60630	434	2454
AT2G24100	339	2249
AT3G29090	728	1832
AT5G28330	303	2743
AT5G08400	142	2488
AT1G04427	1	303
AT3G15870	1	1656
AT2G18510	1624	2659
AT5G67385	108	3673
AT3G11420	727	3338
AT3G21890	14	1100
AT5G14210	1753	4478
AT2G26830	361	3930
AT1G78890	453	2204
AT1G10520	99	3529
AT2G24200	7364	2879
AT2G30250	31	2130
AT1G14690	2726	3643
AT1G29962	2	557
AT2G47844	6	360
AT2G31550	2	1410
AT1G31280	2633	3892
AT1G11490	1	1641
AT4G18070	817	2515
AT2G29580	621	2510
AT5G64160	277	1780
AT1G23900	1671	6602
AT3G06540	1000	2878
AT3G04160	386	3259
AT2G39930	909	6643
AT2G23790	2516	2222
AT4G20362	10	2334
AT5G57640	47	1185
AT1G08880	3171	1206
AT1G32810	1470	4704
AT4G21520	397	3137
AT5G57210	488	3220
AT5G64570	4480	3673
AT5G66660	38	1471
AT5G35320	738	1760
AT2G16630	811	2026
AT4G19000	1	2202
AT3G01440	58	1254
AT1G06820	606	3838
AT5G36937	2	707
AT3G24040	1634	2412
AT2G36850	5758	15293
AT1G08937	17	132
AT2G05310	505	1132
AT3G54640	1101	2489
AT4G31630	39	1877
AT3G03300	910	8288
AT2G27680	546	2344
AT5G08780	443	2266
AT5G42630	1084	2231
AT3G30180	468	3157
AT3G52380	1024	1700
AT5G18250	240	2062
AT5G03280	2798	5976
AT5G09870	1878	5546
AT5G57520	28	1124
AT4G32380	2	2782
AT3G48880	533	2436
AT3G03360	159	2107
AT3G44960	64	1798
AT1G08130	2250	5283
AT3G12000	54	1596
AT3G54363	30	467
AT5G58420	10328	1635
AT3G07950	1739	2772
AT3G55020	1827	6118
AT5G40550	492	2401
AT2G19090	766	3442
AT5G60020	174	2466
AT5G04270	312	2237
AT1G05570	3033	12036
AT3G09180	832	2401
AT1G03905	67	2589
AT5G26050	1	921
AT1G03165	4	988
AT3G06560	1	2857
AT3G49500	1160	4692
AT4G29450	1	3877
AT1G68560	10439	4074
AT1G56340	22091	3144
AT4G25160	123	4416
AT4G22720	718	2027
AT5G17550	245	1890
AT5G41330	529	2677
AT4G16470	231	2113
AT5G24860	8	915
AT1G44000	636	1709
AT5G19175	8	554
AT3G03400	1	413
AT1G66760	457	2561
AT1G77260	959	3396
AT2G19490	488	2713
AT4G15540	396	2680
AT5G60210	2465	4822
AT5G56090	750	2526
AT2G06990	2275	7116
AT1G68060	4363	3714
AT2G31970	1609	8673
AT5G56810	245	1749
AT1G35515	1	2375
AT2G03980	2106	3566
AT5G36520	3417	356
AT5G12210	1342	2844
AT1G30370	1	1778
AT4G28260	1967	2588
AT3G29076	6	4906
AT1G77855	152	1548
AT2G07180	1118	2837
AT4G01470	3	1099
AT5G65760	1769	2817
AT3G07645	2	303
AT1G35660	823	5534
AT1G56610	162	2843
AT3G48490	257	748
AT3G08885	11	1480
AT3G48430	2380	5536
AT1G34380	140	1693
AT1G69890	248	1860
AT3G55646	48	1845
AT2G35370	781	1257
AT1G55820	708	3422
AT1G71080	988	2128
AT3G55830	422	2497
AT2G07687	102	997
AT2G26170	334	2551
AT1G73870	3	1825
AT5G37350	1218	3226
AT1G71866	1	1034
AT1G34315	38	2415
AT5G18770	574	2410
AT3G28840	2	1664
AT5G24316	318	793
AT3G07850	43	2012
AT5G18060	7	809
AT2G06005	162	3866
AT1G34575	66	1729
AT2G44470	24	4493
AT2G19230	2	4979
AT2G33040	6768	2575
AT3G18535	817	2356
AT2G14120	2271	6300
AT5G55640	299	1070
AT2G38550	2128	2699
AT3G01323	12	446
AT1G09460	418	1662
AT2G25670	3762	2504
AT1G31600	686	3621
AT2G21390	9734	4966
AT1G69690	774	2062
AT4G34430	2517	4617
AT1G07050	102	1686
AT1G09807	9	216
AT2G32870	17	2252
AT3G05327	5	1190
AT3G44800	29	1501
AT3G04030	26	2113
AT5G65685	350	5024
AT3G05410	213	6862
AT4G25570	1480	2139
AT3G43190	1	5095
AT2G28340	2	2590
AT4G33625	1238	1831
AT3G60190	2561	3807
AT5G38450	11	3575
AT4G10810	654	847
AT2G17870	3330	1748
AT5G23260	2466	2590
AT2G01790	1	1158
AT1G15970	864	2859
AT4G02070	2010	7425
AT1G30440	3226	3686
AT2G42790	593	3232
AT4G35950	1098	2029
AT4G12005	8	791
AT4G17270	1476	2721
AT3G06690	202	1399
AT3G19380	220	2045
AT2G46050	19	1772
AT4G13266	4	1132
AT2G44670	1019	1010
AT5G51940	1641	1396
AT3G08730	1209	2891
AT3G21810	390	4260
AT2G24765	1554	2608
AT5G60410	2616	6453
AT4G07950	304	1954
AT1G01950	732	5303
AT3G51250	1157	2570
AT5G24220	5	1921
AT5G57500	284	1542
AT2G44980	235	4501
AT5G44300	1	1070
AT1G62610	212	1764
AT1G52330	9	1159
AT1G80160	27	1691
AT4G03600	40	990
AT3G08220	18	323
AT1G28780	8	71
AT1G06040	1185	1643
AT1G07747	2	287
AT1G03210	143	1442
AT2G02350	76	1677
AT4G37470	1521	1997
AT1G05663	1	653
AT1G51370	126	2459
AT5G03560	358	2455
AT3G18760	852	2048
AT4G16940	86	6287
AT5G04700	57	2911
AT1G46768	3	1138
AT1G04150	447	3407
AT5G03320	554	2494
AT3G02740	821	2803
AT4G21480	8554	1981
AT2G11270	2	848
AT2G44530	1852	2693
AT2G31190	450	2608
AT5G38970	778	3415
AT5G42060	793	567
AT3G04540	97	538
AT3G63270	521	2077
AT3G17220	8	863
AT5G63520	498	3305
AT4G03470	2	2439
AT1G16170	255	1336
AT3G10970	779	3592
AT1G19376	1	86
AT4G25150	218	1617
AT5G42830	5	1837
AT3G56500	2	332
AT5G36500	2274	356
AT4G20860	18	1845
AT5G57590	561	4371
AT1G61390	32	4284
AT1G14642	2	221
AT1G06790	521	2554
AT1G80190	230	2802
AT1G17780	148	1772
AT5G20060	1452	3598
AT1G28260	375	3906
AT3G54660	1235	3574
AT1G26218	18	1215
AT4G05475	2	1995
AT3G52780	13	3090
AT2G44730	1205	1232
AT2G19620	431	2972
AT5G02880	2080	7188
AT5G14640	4726	3377
AT2G34480	19185	1785
AT3G28670	699	3425
AT1G21130	19	1922
AT5G17450	16	1781
AT5G50550	472	2370
AT5G53250	7	845
AT1G19025	108	2265
AT1G16890	1943	2307
AT5G22660	2	1762
AT3G27150	8	2365
AT1G54450	156	3566
AT5G59430	1676	3779
AT2G27810	2809	4257
AT3G24515	192	1871
AT5G54860	474	2781
AT1G05317	1	578
AT5G09890	776	3575
AT2G25950	704	2100
AT2G17442	331	2135
AT3G16430	1	1619
AT5G18600	18	872
AT2G31980	57	862
AT5G50710	63	778
AT3G44730	127	7295
AT2G25605	172	1883
AT1G02335	349	1227
AT3G53090	436	6180
AT5G09970	63	2294
AT4G22105	202	597
AT5G23430	1794	6969
AT1G75250	3	1264
AT4G38100	730	1368
AT3G21790	10	1724
AT1G08720	691	5367
AT2G47895	126	1001
AT5G06800	1	2889
AT5G05970	820	4233
AT2G05420	7	1548
AT5G04020	762	5251
AT1G15930	7760	1732
AT5G41960	411	1418
AT2G07681	29	4837
AT3G07570	1110	2282
AT5G56780	149	2165
AT3G15420	102	934
AT4G27860	2000	2820
AT3G30390	2305	2809
AT2G36900	559	2262
AT2G33460	6	1821
AT5G05670	1305	2474
AT3G02020	33	6200
AT1G32870	632	2279
AT2G14170	2048	4627
AT1G06083	17	313
AT3G24820	172	2122
AT5G52250	175	1579
AT3G59490	208	1755
AT1G02920	10	1402
AT2G30820	104	3453
AT1G20530	217	2431
AT5G05160	216	2437
AT5G60450	344	4529
AT2G32179	42	1535
AT1G59830	1027	2126
AT3G01845	1	772
AT5G08370	232	2706
AT5G67460	3509	1904
AT4G32640	1762	8861
AT2G06605	1	281
AT1G05153	6	1003
AT5G07630	740	4008
AT1G03506	3	86
AT1G72250	2199	5639
AT1G61560	40	3821
AT3G54310	8	1791
AT1G28570	194	2682
AT3G49410	42	4637
AT5G04480	984	6597
AT1G51538	134	2308
AT5G62865	44	1003
AT4G23740	2005	3256
AT1G29260	702	1507
AT1G67230	6320	5178
AT4G36270	296	4217
AT3G62090	13	2162
AT5G63510	1769	1904
AT1G64350	837	1842
AT3G51150	1209	6130
AT2G28630	1015	2777
AT3G58540	11	829
AT1G77885	34	1052
AT1G76090	1241	1634
AT2G21820	2	555
AT1G75680	2556	2583
AT4G04040	434	3911
AT3G06480	1616	4907
AT1G17340	233	5037
AT4G01740	87	2034
AT2G21700	1	71
AT1G06173	3	523
AT3G60360	437	2169
AT3G01015	94	2550
AT1G68310	534	2002
AT3G45050	235	1567
AT1G16670	224	2654
AT3G63280	34	3614
AT4G05320	30886	2331
AT2G13680	52	12061
AT3G23000	1086	1663
AT3G23510	56	5783
AT1G72130	179	2226
AT1G28210	260	5641
AT5G46230	2	805
AT5G66830	5	1436
AT2G39410	69	2794
AT5G36450	4292	603
AT2G07095	1	691
AT1G44575	4097	3203
AT2G22805	1	871
AT1G02530	2488	4998
AT1G73150	480	2433
AT3G09890	601	1994
AT3G07465	12	263
AT1G57660	10287	1162
AT5G28690	5	2313
AT5G43560	1583	5337
AT3G28510	1	1959
AT2G07723	36	2791
AT2G13580	172	1307
AT3G46990	202	2080
AT2G20595	217	543
AT5G62730	34	2925
AT1G08920	590	3542
AT5G10520	126	3040
AT3G10930	27	851
AT1G75760	676	2103
AT2G46300	9	1476
AT5G03140	707	2851
AT1G73860	58	6013
AT3G23930	70	1201
AT4G18570	2729	3475
AT2G01670	372	1850
AT5G53650	901	1401
AT5G40830	676	1979
AT2G24260	304	3210
AT5G63970	55	2535
AT2G07638	26	1050
AT5G03430	759	4282
AT2G29700	1384	1065
